lat,lng,STATE
17.7042,83.2978,Andhra Pradesh
26.1722,91.7458,Assam
26.1225,85.3906,Bihar
30.75,76.78,Chhattisgarh
28.61,77.23,Delhi
23.0225,72.5714,Gujarat
28.4211,77.3078,Haryana
31.1033,77.1722,Himachal Pradesh
34.09,74.79,Jammu and Kashmir
23.7998,86.4305,Jharkand
13.0465,77.513,Karnataka
23.1667,79.9333,Madhya Pradesh
19.3607,72.7956,Maharashtra
20.5,86.42,Odisha
11.9167,79.8167,Puducherry
30.91,75.85,Punjab
26.28,73.02,Rajasthan
11.9922,79.8499,Tamil Nadu
17.3617,78.4747,Telangana
26.85,80.95,Uttar Pradesh
29.22,79.52,Uttarakhand
22.5675,88.37,West Bengal
22.58,88.3294,West Bengal
